name,scissor_kick_combined,xwoba,woba,babip,xslg,launch_angle,exit_velocity,hardhit_percent,k_percent,bb_percent
"Soler, Jorge",False,0.307,0.302,0.279,0.475,14.2,90.0,42.934782608695656,22.4,0.0
"Torkelson, Spencer",False,0.334,0.318,0.264,0.541,23.2,91.2,45.2755905511811,20.9,0.0
"Betts, Mookie",False,0.292,0.28,0.25,0.426,20.3,88.8,32.89902280130293,8.6,0.0
"Rutschman, Adley",True,0.328,0.281,0.259,0.482,16.3,90.1,38.7434554973822,10.3,0.0
"Walker, Christian",False,0.292,0.283,0.294,0.439,16.9,90.8,44.61538461538462,22.6,0.0
"Arias, Gabriel",True,0.3,0.288,0.325,0.455,5.2,89.9,42.94117647058823,28.3,0.0
"Norby, Connor",False,0.298,0.267,0.306,0.449,15.6,87.8,35.18518518518518,22.9,0.0
"Lee, Jung Hoo",False,0.306,0.278,0.258,0.421,13.0,88.0,29.900332225913623,8.0,0.0
"Semien, Marcus",True,0.298,0.275,0.268,0.434,19.7,88.9,34.98233215547703,16.7,0.0
"Allen, Nick",True,0.237,0.235,0.304,0.299,13.5,84.5,19.473684210526315,17.3,0.0
"McMahon, Ryan",False,0.342,0.304,0.308,0.54,15.7,94.0,52.55813953488372,29.2,0.0
"Vargas, Miguel",False,0.306,0.297,0.251,0.454,25.1,90.0,40.893470790378,10.5,0.0
"Bell, Josh",False,0.33,0.291,0.25,0.497,9.5,90.5,46.88796680497925,13.1,0.0
"Vientos, Mark",False,0.281,0.274,0.296,0.408,13.3,90.8,48.0,22.2,0.0
"Muncy, Max",False,0.332,0.293,0.278,0.536,20.7,91.4,52.79503105590062,24.1,0.0
"Muncy, Max",False,0.288,0.283,0.256,0.429,10.6,87.1,32.53968253968254,25.0,0.0
"Murphy, Sean",False,0.305,0.322,0.276,0.473,12.6,89.9,45.71428571428572,28.4,0.0
"Arenado, Nolan",True,0.285,0.275,0.239,0.401,19.8,87.5,34.437086092715234,5.6,0.0
"Nootbaar, Lars",False,0.294,0.285,0.265,0.44,18.8,92.4,53.6036036036036,17.8,0.0
"Baty, Brett",False,0.345,0.3,0.255,0.524,8.9,91.3,49.41860465116279,18.9,0.0
"Sweeney, Trey",False,0.265,0.262,0.265,0.377,11.6,88.5,36.36363636363637,15.2,0.0
"Edman, Tommy",False,0.342,0.289,0.23,0.485,12.2,87.9,37.83783783783784,8.6,0.0
"Rice, Ben",False,0.389,0.308,0.239,0.6,14.9,93.1,52.85714285714286,13.9,0.0
"Lindor, Francisco",False,0.297,0.287,0.256,0.449,15.1,89.6,42.36111111111111,18.4,0.0
"Burger, Jake",False,0.347,0.293,0.25,0.541,15.5,91.2,50.81967213114754,17.6,0.0
"Wells, Austin",False,0.303,0.296,0.237,0.474,22.3,91.7,50.24630541871922,17.5,0.0
"Stott, Bryson",False,0.289,0.256,0.258,0.416,15.8,87.8,29.84496124031008,11.9,0.0
"García, Adolis",False,0.328,0.282,0.26,0.51,18.4,92.8,49.07063197026022,21.1,0.0
"Santana, Carlos",True,0.278,0.265,0.247,0.404,17.9,88.4,39.07563025210085,15.0,0.0
"Manzardo, Kyle",False,0.305,0.308,0.243,0.493,25.1,90.9,44.04145077720207,22.8,0.0
"Doyle, Brenton",False,0.303,0.253,0.274,0.444,12.0,90.0,44.907407407407405,18.1,0.0
"Bailey, Patrick",True,0.272,0.246,0.297,0.406,15.5,89.0,39.1566265060241,23.4,0.0
"Yastrzemski, Mike",False,0.272,0.265,0.269,0.4,18.0,90.3,41.86046511627907,20.3,0.0
"Mullins, Cedric",False,0.276,0.301,0.234,0.412,25.0,90.1,39.61352657004831,19.5,0.0
"Happ, Ian",False,0.326,0.279,0.245,0.49,17.0,90.0,43.56060606060606,18.8,0.0
"Toglia, Michael",True,0.292,0.281,0.295,0.441,18.2,89.8,44.785276073619634,30.5,0.0
"Espinal, Santiago",False,0.239,0.228,0.259,0.311,15.9,86.7,26.88679245283019,9.0,0.0
"Albies, Ozzie",False,0.252,0.246,0.253,0.353,19.9,87.6,29.29292929292929,14.4,0.0
"Ortiz, Joey",False,0.282,0.251,0.238,0.381,15.0,86.2,35.91836734693877,9.9,0.0
"Harris II, Michael",False,0.31,0.261,0.259,0.445,6.9,90.0,42.40282685512368,18.0,0.0
"Benintendi, Andrew",False,0.324,0.278,0.22,0.5,23.7,89.6,39.523809523809526,14.2,0.0
"Flores, Wilmer",False,0.237,0.247,0.245,0.324,20.6,84.8,21.428571428571427,16.4,0.0
"Heim, Jonah",False,0.268,0.249,0.253,0.386,15.1,89.3,36.81592039800995,19.0,0.0
"Conforto, Michael",False,0.344,0.267,0.234,0.52,15.3,90.7,44.0,15.9,0.0
"Kepler, Max",False,0.318,0.266,0.226,0.48,16.5,91.8,47.57709251101321,14.6,0.0
"McLain, Matt",False,0.274,0.255,0.254,0.405,17.5,88.3,39.81481481481482,21.8,0.0
"Taylor, Tyrone",False,0.296,0.232,0.254,0.411,20.9,87.5,35.51912568306011,16.1,0.0
"Scott II, Victor",False,0.249,0.24,0.267,0.348,14.4,86.3,27.717391304347828,23.2,0.0
"Walls, Taylor",True,0.242,0.234,0.25,0.342,16.5,87.5,28.33333333333333,18.9,0.0
"Volpe, Anthony",False,0.303,0.275,0.229,0.463,12.6,90.7,47.89272030651341,21.9,0.0
"Pagés, Pedro",True,0.246,0.239,0.25,0.352,14.7,88.9,39.53488372093023,21.3,0.0
"Naylor, Bo",True,0.276,0.256,0.2,0.434,24.5,90.2,38.70967741935484,21.7,0.0
