name,scissor_kick_combined,bat_speed,swing_length,attack_angle,attack_direction,swing_path_tilt
"Bader, Harrison",True,73.3,7.2,11.54616728739094,-5.7983227112364855,25.157880903235046
"Marte, Ketel",False,74.8,7.9,10.83117008447465,-8.152977194115078,32.24772393394099
"Crawford, J.P.",True,70.9,7.0,4.043393448890377,1.7265746842407357,36.24174545255042
"Soto, Juan",False,73.3,7.0,11.037818758049522,4.371830041505253,28.01316554700444
"Turang, Brice",True,70.1,6.8,6.328589770759252,8.672538270863614,30.49264660684885
"Ramos, Heliot",True,73.8,6.8,6.159137510061955,2.14519849344341,31.828897678488524
"McKinstry, Zach",False,67.7,6.8,9.594849089096472,2.170166946437745,37.45743965685706
"Bichette, Bo",False,69.0,7.3,5.0799018204100905,0.7530127142394575,37.53669756566639
"Schwarber, Kyle",False,77.2,7.6,14.418631518471074,-5.9541115294465,30.303585062253408
"Arraez, Luis",False,62.6,5.9,5.762488880230021,4.554260979361621,37.38687577327394
"Pasquantino, Vinnie",False,72.8,7.4,9.769476365640347,-9.301912372122338,29.443348594765723
"Torres, Gleyber",False,70.3,7.2,9.33574066539215,3.660858986378608,33.99808262963809
"Raleigh, Cal",False,75.2,7.9,17.8235936153349,-8.441340574535541,33.95786892621897
"Nimmo, Brandon",False,71.7,7.2,6.709147139720266,1.7462254350120952,29.1325530567542
"Contreras, Willson",False,76.4,8.0,9.4214220388963,-1.645625088362129,32.928009687417074
"Mangum, Jake",True,67.2,6.5,2.211451245254438,11.771191624799611,29.25197561364063
"Harper, Bryce",False,74.5,7.4,12.123510148633745,-3.263063946245814,35.1821641977484
"Kwan, Steven",False,63.6,6.4,3.5990399129704884,-3.260038505838202,35.73451682630108
"Langford, Wyatt",False,73.2,7.0,16.666236316232574,-1.8361245918540448,34.37184386667053
"France, Ty",False,70.7,7.4,10.34065996181588,5.949843227221752,34.57709882266104
"Polanco, Jorge",False,71.6,7.3,9.246218479935752,-10.645187115763958,30.25732379287963
"Sheets, Gavin",False,74.6,7.8,8.86607736982314,-7.685588638359441,27.654312721202874
"Carroll, Corbin",False,74.7,7.3,10.684911260212196,-3.104756492005869,25.22624557946501
"Grisham, Trent",False,70.9,7.6,16.401666847384195,2.01914947641214,30.002104310535675
"Contreras, William",False,72.9,7.1,10.246148661649675,4.778963831276056,29.14212433355113
"Paredes, Isaac",True,69.0,8.0,15.456276680174971,-15.019652922908488,32.48303462414706
"Rodríguez, Julio",False,76.0,7.7,7.141711480943276,-1.4071148502299036,31.75379964989971
"Keith, Colt",False,70.8,6.8,10.96842644706008,-0.7567967606775705,33.33704924550118
"Duran, Jarren",True,74.5,7.5,5.728420066696256,1.6541291691569668,26.73290685867544
"Winn, Masyn",True,71.2,7.5,5.679722504231612,-4.344996070220314,29.37386115838233
"Swanson, Dansby",False,70.8,7.4,15.395924510506664,-1.400374373181508,34.43541812093086
"Abrams, CJ",False,72.3,7.5,9.92404617777934,-3.18118918113826,26.83516593705236
"Arozarena, Randy",True,72.3,7.5,9.343467276605583,-1.0138809571125649,25.26812547908143
"Yelich, Christian",False,73.3,7.5,9.495262542681406,6.685877847729316,36.15969666406794
"Realmuto, J.T.",False,72.6,7.6,12.79285840623498,1.7201672701782458,34.04121764423226
"Alonso, Pete",False,75.8,7.1,10.199303063223004,0.3852244026430472,33.51752816121934
"Riley, Austin",True,75.9,7.6,10.915535326191693,-4.663404692701592,32.21944556646536
"Caminero, Junior",False,78.3,8.4,7.5981958264260125,-4.6963945283889394,26.44658586496655
"Merrill, Jackson",True,72.0,7.4,8.85448854062201,2.1101720340356698,37.05672364655355
"Castro, Willi",False,71.5,7.2,8.037228889787682,-4.547916608383024,37.26007851290733
"Meidroth, Chase",True,67.9,6.7,6.43177525176346,2.0611083895224787,28.79129078291444
"India, Jonathan",False,72.0,7.3,8.730910127174964,-3.899023524289616,27.99131345247636
"Trout, Mike",True,74.1,7.4,7.509951887311704,-0.1683358687172864,36.35925052014368
"Perez, Salvador",False,73.2,7.9,12.717490971936074,-5.61339626364597,34.11443628536582
"Tatis Jr., Fernando",True,73.8,7.3,8.296382383423387,1.231210342516622,30.571884183860952
"Rengifo, Luis",False,70.0,7.1,7.640444676578973,3.464378842586734,33.64265182205335
"Abreu, Wilyer",False,74.2,7.1,9.36637999315614,-1.3426144033995957,31.185718511876573
"Soderstrom, Tyler",False,74.1,7.5,10.083854275747704,0.8371094465790238,30.992912358698483
