name,scissor_kick_combined,xwoba,woba,babip,slg,xslg,attack_angle,attack_direction,swing_path_tilt,hardhit_percent,obp,k_percent,bb_percent,singles,doubles,triples,hrs,bat_speed,swing_length,pa,whiffs,swings,launch_angle,launch_speed,bip
"Witt Jr., Bobby",True,0.37,0.325,0.315,0.472,0.542,4.219938077473199,0.2386555641408886,27.9806627580934,53.06122448979592,0.29,15.8,0,67,22,1,13,72.0,6.9,355,181,729,16.6,92.9,299
"Naylor, Josh",False,0.296,0.274,0.281,0.367,0.406,7.7524561921237,-6.718202439263712,29.28184321271293,36.283185840707965,0.266,10.8,0,79,14,0,8,68.1,7.5,381,134,728,12.2,87.2,339
"Swanson, Dansby",False,0.276,0.28,0.247,0.435,0.417,14.536997147391418,-3.205651773050334,34.577217678697686,42.96577946768061,0.23,21.4,0,45,13,3,16,69.6,7.5,336,220,728,16.3,89.5,264
"Chisholm Jr., Jazz",False,0.267,0.291,0.289,0.448,0.404,14.592177952768877,-8.414263934512446,31.4035802295826,42.06008583690987,0.242,28.4,0,47,14,2,16,70.7,7.8,327,228,726,15.4,89.4,234
"Perdomo, Geraldo",False,0.27,0.264,0.248,0.375,0.354,6.000858779277143,-2.141414241282783,38.19841187724724,28.70662460567824,0.243,9.1,0,59,14,3,8,63.6,6.7,351,87,723,13.7,85.4,319
"Giménez, Andrés",False,0.248,0.258,0.27,0.367,0.333,6.669612860154588,3.62036960861612,32.62556732792729,23.41269841269841,0.236,18.6,0,49,16,1,7,64.8,6.7,311,180,722,12.2,84.6,253
"Clemens, Kody",True,0.309,0.318,0.27,0.506,0.462,10.872655035810393,-1.702414473609032,28.38211930707175,47.45098039215686,0.25,22.1,0,40,19,5,18,70.0,7.1,330,187,717,17.7,92.2,257
"Jensen, Carter",True,0.262,0.303,0.307,0.463,0.395,5.873796800741123,-4.65471318498549,26.231466546338137,43.27731092436975,0.255,26.5,0,46,23,0,14,71.6,7.0,325,209,717,20.7,90.7,239
"Raleigh, Cal",False,0.243,0.212,0.212,0.325,0.376,16.53851756123734,-4.432171967520967,34.588889619013166,32.57142857142858,0.176,31.4,0,28,7,0,10,72.4,7.8,255,222,716,24.2,88.1,175
"Baldwin, Drake",False,0.356,0.339,0.308,0.505,0.544,11.515281534384748,5.159818098539558,34.06948153144139,51.229508196721305,0.289,20.8,0,63,6,0,20,73.0,7.2,308,170,705,11.1,91.7,244
"Arenado, Nolan",True,0.266,0.29,0.275,0.435,0.376,11.991083948641858,-9.768954455446536,33.241990393204524,32.83018867924528,0.249,20.7,0,50,19,0,14,69.3,8.3,334,167,702,17.9,85.2,265
"Ward, Taylor",True,0.3,0.289,0.314,0.394,0.422,5.76698347036609,1.4526698297311496,30.68425114161632,38.59060402684564,0.277,16.2,0,72,20,0,7,66.5,6.8,358,135,701,15.3,89.2,300
"Bohm, Alec",False,0.283,0.264,0.235,0.387,0.397,4.229056082837066,5.964965287982537,29.49663525958864,42.31974921630094,0.232,12.6,0,56,16,0,13,69.4,7.1,366,120,699,9.0,90.5,320
"Buxton, Byron",False,0.339,0.361,0.284,0.581,0.543,13.458668885583572,-7.789081630784231,34.499400194686366,47.73662551440329,0.279,22.1,0,45,16,1,25,72.6,7.9,312,218,699,21.3,90.6,243
"Contreras, William",True,0.316,0.297,0.295,0.41,0.465,7.852101407117832,2.2817834948991496,27.02108389194929,43.07692307692308,0.281,11.2,0,78,15,0,10,71.2,7.1,366,135,696,11.7,90.1,325
"Mullins, Cedric",False,0.219,0.245,0.225,0.367,0.324,10.519957527496738,-6.934893228567079,30.740070106346423,30.327868852459016,0.21,19.9,0,43,6,2,12,67.0,7.1,306,166,696,23.6,84.6,243
"Stowers, Kyle",False,0.297,0.304,0.322,0.472,0.453,13.653938385202832,-0.7388730837363959,33.40641814085528,53.80710659898477,0.248,32.3,0,37,19,3,13,72.9,6.7,291,252,694,16.4,91.4,197
"Varsho, Daulton",False,0.269,0.275,0.288,0.39,0.377,7.914175736995203,-0.2913987278852445,27.38075796722853,36.8,0.252,18.3,0,51,17,2,7,71.0,7.6,306,141,694,14.1,85.9,250
"O'Hearn, Ryan",False,0.308,0.334,0.318,0.494,0.445,11.55139249122293,-0.0980612788657945,31.8789199126148,44.78764478764479,0.291,19.8,0,64,13,0,17,69.0,7.1,323,154,691,13.5,89.6,259
"Steer, Spencer",True,0.316,0.297,0.271,0.447,0.481,12.597541936309648,1.1444099035789077,28.90843644913473,41.32231404958678,0.252,20.4,0,51,14,0,16,69.6,7.3,323,174,689,17.0,89.4,256
"Suzuki, Seiya",True,0.321,0.352,0.323,0.535,0.481,8.410923693428888,-3.0687719289970694,32.15362168624266,39.83402489626556,0.296,20.7,0,55,17,0,18,70.9,7.2,304,176,685,18.7,88.9,241
"Stott, Bryson",False,0.302,0.298,0.3,0.434,0.43,9.211590139572458,0.2290584849283818,31.02124751115688,38.46153846153847,0.267,16.3,0,57,20,6,8,68.1,7.2,343,135,685,15.1,88.8,287
"García Jr., Luis",False,0.351,0.362,0.282,0.567,0.525,9.979327636010453,-1.2809806382839473,27.519213059752506,45.84837545126354,0.29,13.6,0,51,18,4,21,72.3,7.4,324,133,682,11.6,91.2,280
"Jung, Josh",True,0.341,0.348,0.343,0.489,0.479,11.8812178768,1.2021602894958523,36.47889316975545,48.25174825174825,0.323,11.2,0,71,23,1,9,69.0,7.0,322,125,678,11.8,90.6,286
"Soderstrom, Tyler",False,0.31,0.332,0.27,0.516,0.456,9.512823767994252,-0.4666863962063481,28.43475347497122,44.776119402985074,0.27,14.6,0,44,22,2,17,72.5,7.4,315,140,674,11.8,90.3,269
"Baty, Brett",False,0.287,0.257,0.296,0.36,0.41,9.507519843295512,3.197000487375305,37.13082874609751,39.54545454545455,0.24,23.6,0,49,13,1,6,72.7,7.3,288,194,674,10.9,89.3,219
"Winn, Masyn",True,0.267,0.249,0.291,0.333,0.346,4.633255844193486,0.8331963579205319,27.93820165212673,35.94306049822064,0.246,18.3,0,67,12,2,4,69.3,7.2,345,151,670,11.9,87.7,282
"Caballero, José",False,0.244,0.272,0.282,0.392,0.337,8.451625376652602,0.0010559781987423,31.00867458295673,24.561403508771928,0.246,21.6,0,50,11,0,10,65.3,6.6,291,182,668,10.6,80.8,228
"Soler, Jorge",False,0.274,0.267,0.268,0.414,0.413,12.064082405777318,-7.88063590803984,34.23152582379024,44.1025641025641,0.22,29.6,0,34,14,1,12,73.3,7.9,277,248,667,14.3,88.8,195
"Marsee, Jakob",False,0.253,0.236,0.255,0.328,0.345,5.499155873896281,-6.795180247412522,31.399887584609047,33.85214007782101,0.221,17.7,0,49,12,3,5,67.3,6.6,316,125,663,16.3,85.6,260
"Trout, Mike",True,0.372,0.332,0.292,0.514,0.591,6.447326070462379,-0.6766467658645381,35.513998868476435,47.94520547945205,0.27,22.8,0,44,15,0,18,73.1,7.4,285,155,662,17.1,90.4,220
"Semien, Marcus",True,0.297,0.256,0.24,0.379,0.435,13.979797584385013,-1.715458912713497,33.988750221867825,36.47540983606557,0.224,19.3,0,47,8,1,12,66.5,7.7,305,156,660,18.3,86.1,246
"McNeil, Jeff",False,0.278,0.252,0.266,0.337,0.365,6.011290027212479,-0.6362699787379068,34.88676852997011,31.90661478599221,0.247,11.1,0,54,13,0,4,66.6,7.1,289,105,659,13.7,86.1,257
"Nuñez, Nasim",False,0.237,0.255,0.326,0.315,0.298,2.3645376884574025,5.583775599326657,31.909792447824348,20.77922077922078,0.268,18.2,0,67,4,3,1,64.5,6.5,286,141,656,6.0,81.6,234
"Bogaerts, Xander",True,0.279,0.246,0.249,0.341,0.393,10.797662671012276,-4.184315915504039,32.35828608597558,38.98916967509025,0.23,16.0,0,58,9,0,9,69.9,7.3,331,150,655,5.7,88.1,278
"Lee, Jung Hoo",False,0.301,0.323,0.322,0.446,0.392,3.197626074325662,-3.5984008438055333,38.789893056751815,28.834355828220858,0.307,8.2,0,77,22,4,6,66.6,7.6,355,84,652,9.5,86.6,326
"McCarthy, Jake",False,0.292,0.351,0.343,0.521,0.408,8.074768100214035,-1.719661971268256,32.540382093865844,26.05363984674329,0.306,16.6,0,57,21,7,10,67.3,6.9,314,151,650,9.7,82.0,262
