name,scissor_kick_combined,xwoba,woba,babip,xslg,launch_angle,exit_velocity,hardhit_percent,k_percent,bb_percent
"Mayo, Coby",False,0.292,0.298,0.269,0.453,20.2,92.4,48.57142857142857,30.3,0
"Soto, Juan",False,0.382,0.357,0.274,0.605,16.3,92.0,48.97959183673469,13.9,0
"Alvarez, Francisco",False,0.32,0.316,0.315,0.498,11.3,90.1,43.95604395604396,25.9,0
"Eldridge, Bryce",False,0.315,0.306,0.316,0.482,13.8,92.1,52.17391304347826,26.0,0
"Keith, Colt",False,0.323,0.314,0.314,0.462,12.8,88.7,41.365461847389554,14.7,0
"Acuña Jr., Ronald",True,0.338,0.3,0.279,0.523,16.5,90.2,45.65217391304348,23.0,0
"Sanoja, Javier",False,0.257,0.298,0.288,0.335,12.2,85.7,31.27272727272728,7.1,0
"Lindor, Francisco",False,0.309,0.289,0.261,0.463,18.1,91.6,49.46236559139785,19.1,0
"Schneemann, Daniel",True,0.264,0.245,0.279,0.384,12.0,87.9,37.42690058479532,26.9,0
"Hoskins, Rhys",True,0.243,0.257,0.224,0.385,27.4,89.2,41.25,32.2,0
"Lowe, Josh",False,0.268,0.238,0.243,0.407,17.7,87.6,37.67123287671233,27.7,0
"Kelly, Carson",False,0.287,0.299,0.306,0.41,12.0,87.3,36.771300448430495,13.6,0
