name,scissor_kick_combined,pa,obp,slg,singles,doubles,triples,hrs,whiffs,swings,bip,singles_per_pa,doubles_per_pa,triples_per_pa,hrs_per_pa,singles_per_bip,doubles_per_bip,triples_per_bip,hrs_per_bip,whiff_percent,ops
"Suzuki, Seiya",True,304,0.296,0.535,55,17,0,18,176,685,241,0.18092105263157895,0.05592105263157895,0.0,0.05921052631578947,0.22821576763485477,0.07053941908713693,0.0,0.07468879668049792,0.2569343065693431,0.831
"Stott, Bryson",False,343,0.267,0.434,57,20,6,8,135,685,287,0.1661807580174927,0.05830903790087463,0.01749271137026239,0.023323615160349854,0.1986062717770035,0.06968641114982578,0.020905923344947737,0.027874564459930314,0.19708029197080293,0.7010000000000001
"García Jr., Luis",False,324,0.29,0.567,51,18,4,21,133,682,280,0.1574074074074074,0.05555555555555555,0.012345679012345678,0.06481481481481481,0.18214285714285713,0.06428571428571428,0.014285714285714285,0.075,0.19501466275659823,0.857
"Jung, Josh",True,322,0.323,0.489,71,23,1,9,125,678,286,0.2204968944099379,0.07142857142857142,0.003105590062111801,0.027950310559006212,0.24825174825174826,0.08041958041958042,0.0034965034965034965,0.03146853146853147,0.18436578171091444,0.812
"Soderstrom, Tyler",False,315,0.27,0.516,44,22,2,17,140,674,269,0.13968253968253969,0.06984126984126984,0.006349206349206349,0.05396825396825397,0.16356877323420074,0.08178438661710037,0.007434944237918215,0.06319702602230483,0.20771513353115728,0.786
"Baty, Brett",False,288,0.24,0.36,49,13,1,6,194,674,219,0.1701388888888889,0.04513888888888889,0.003472222222222222,0.020833333333333332,0.2237442922374429,0.0593607305936073,0.0045662100456621,0.0273972602739726,0.2878338278931751,0.6
"Winn, Masyn",True,345,0.246,0.333,67,12,2,4,151,670,282,0.19420289855072465,0.034782608695652174,0.005797101449275362,0.011594202898550725,0.2375886524822695,0.0425531914893617,0.0070921985815602835,0.014184397163120567,0.2253731343283582,0.579
"Soler, Jorge",False,277,0.22,0.414,34,14,1,12,248,667,195,0.12274368231046931,0.05054151624548736,0.0036101083032490976,0.04332129963898917,0.17435897435897435,0.07179487179487179,0.005128205128205128,0.06153846153846154,0.37181409295352325,0.634
"Trout, Mike",True,285,0.27,0.514,44,15,0,18,155,662,220,0.1543859649122807,0.05263157894736842,0.0,0.06315789473684211,0.2,0.06818181818181818,0.0,0.08181818181818182,0.23413897280966767,0.784
"Semien, Marcus",True,305,0.224,0.379,47,8,1,12,156,660,246,0.1540983606557377,0.02622950819672131,0.003278688524590164,0.03934426229508197,0.1910569105691057,0.032520325203252036,0.0040650406504065045,0.04878048780487805,0.23636363636363636,0.603
"McNeil, Jeff",False,289,0.247,0.337,54,13,0,4,105,659,257,0.18685121107266436,0.04498269896193772,0.0,0.01384083044982699,0.21011673151750973,0.05058365758754864,0.0,0.01556420233463035,0.15933232169954475,0.5840000000000001
"Bogaerts, Xander",True,331,0.23,0.341,58,9,0,9,150,655,278,0.17522658610271905,0.027190332326283987,0.0,0.027190332326283987,0.20863309352517986,0.03237410071942446,0.0,0.03237410071942446,0.22900763358778625,0.5710000000000001
